activity	time	p	p_peak	p_smooth
Playing racquet sports	1245	2.09E-04	0.434453921	0.396702243
Weightlifting/strength training	1245	7.85E-04	0.490489317	0.487903333
Hiking	1245	4.81E-05	0.095006334	0.091793908
Biking	1245	2.30E-04	0.277079939	0.265621586
Walking	1245	0.001850761	0.400291258	0.392889623
Using cardiovascular equipment	1245	5.12E-04	0.384097399	0.3982945
Participating in water sports	1245	6.41E-04	0.200002794	0.1965181
Playing basketball	1245	7.95E-04	0.380620959	0.367781638
"Working out, unspecified"	1245	0.001302296	0.374597713	0.364186988
"Skiing, ice skating, snowboarding"	1245	8.34E-05	0.172638213	0.172638213
Doing yoga	1245	1.37E-04	0.321371593	0.330700032
Playing billiards	1245	7.70E-04	0.9396846	0.929183899
Fishing	1245	6.02E-04	0.360000616	0.338741004
Dancing	1245	6.22E-04	0.833993092	0.821328265
Playing football	1245	2.53E-04	0.261985879	0.261985879
Vehicle touring/racing	1245	1.77E-04	0.440637766	0.439818949
Softball	1245	3.44E-04	0.57797705	0.561016691
Playing soccer	1245	3.11E-04	0.386743693	0.38186635
Doing aerobics	1245	9.27E-05	0.151555509	0.151639167
Hunting	1245	8.69E-05	0.079970839	0.078637919
Participating in martial arts	1245	1.47E-04	0.48388505	0.471392552
Bowling	1245	0.001101542	0.893601261	0.886323496
Rollerblading	1245	0.00013547	0.425441044	0.413827449
Golfing	1245	1.79E-04	0.076405081	0.07376049
Playing volleyball	1245	2.94E-04	0.619203084	0.580438846
Boating	1245	1.17E-04	0.173715819	0.169722833
Playing baseball	1245	1.38E-04	0.296004451	0.30538162
Running	1250	4.65E-04	0.31724973	0.320409302
Playing racquet sports	1250	1.48E-04	0.30763969	0.35256081
Weightlifting/strength training	1250	8.12E-04	0.507091451	0.492779177
Hiking	1250	4.32E-05	0.085369054	0.088581481
Biking	1250	1.95E-04	0.23511021	0.242012673
Walking	1250	0.001661886	0.359440461	0.359971633
Using cardiovascular equipment	1250	5.25E-04	0.393891174	0.390036342
Participating in water sports	1250	5.75E-04	0.179485819	0.186440303
Playing basketball	1250	7.11E-04	0.340403676	0.350350204
"Working out, unspecified"	1250	0.001196534	0.344175929	0.353040765
"Skiing, ice skating, snowboarding"	1250	8.34E-05	0.172638213	0.159736026
Doing yoga	1250	1.26E-04	0.295962601	0.304408088
Playing billiards	1250	7.70E-04	0.939159405	0.938295716
Fishing	1250	5.02E-04	0.300336563	0.323879347
Dancing	1250	6.20E-04	0.831478194	0.833344082
Playing football	1250	2.53E-04	0.261985879	0.261985879
Vehicle touring/racing	1250	1.61E-04	0.400541714	0.412525424
Softball	1250	3.06E-04	0.514661015	0.529970269
Playing soccer	1250	3.03E-04	0.375885713	0.377292266
Doing aerobics	1250	9.04E-05	0.1477806	0.147357641
Hunting	1250	8.26E-05	0.075972079	0.073456387
Participating in martial arts	1250	1.42E-04	0.465469956	0.47160832
Bowling	1250	0.001065697	0.864522636	0.874711392
Rollerblading	1250	1.26E-04	0.396977884	0.406465604
Golfing	1250	1.50E-04	0.063980161	0.066820345
Playing volleyball	1250	2.61E-04	0.549288235	0.572593185
Boating	1250	1.15E-04	0.170882344	0.171826836
Playing baseball	1250	1.38E-04	0.296004451	0.291427888
Running	1255	4.34E-04	0.296260251	0.313847396
Playing racquet sports	1255	1.51E-04	0.315588819	0.311020355
Weightlifting/strength training	1255	7.69E-04	0.480756763	0.498583722
Hiking	1255	4.32E-05	0.085369054	0.085369054
Biking	1255	1.77E-04	0.213847871	0.21739619
Walking	1255	0.001480378	0.320183178	0.346899607
Using cardiovascular equipment	1255	5.23E-04	0.392120452	0.404647081
Participating in water sports	1255	5.76E-04	0.179832297	0.179831228
Playing basketball	1255	6.90E-04	0.330025976	0.333454532
"Working out, unspecified"	1255	0.001183228	0.340348652	0.364079608
"Skiing, ice skating, snowboarding"	1255	6.47E-05	0.13393165	0.146833838
Doing yoga	1255	1.26E-04	0.295890069	0.311095795
Playing billiards	1255	7.67E-04	0.936043143	0.9564833
Fishing	1255	5.20E-04	0.311300862	0.308012973
Dancing	1255	6.22E-04	0.834560959	0.857707756
Playing football	1255	2.53E-04	0.261985879	0.258445632
Vehicle touring/racing	1255	1.59E-04	0.396396791	0.397778432
Softball	1255	2.96E-04	0.497272742	0.499692643
Playing soccer	1255	2.97E-04	0.36924739	0.376401264
Doing aerobics	1255	8.73E-05	0.142736813	0.143758973
Hunting	1255	7.00E-05	0.064426242	0.068274854
Participating in martial arts	1255	1.42E-04	0.465469956	0.443794882
Bowling	1255	0.001067531	0.866010281	0.867916732
Rollerblading	1255	1.26E-04	0.396977884	0.410389452
Golfing	1255	1.41E-04	0.060075794	0.056615955
Playing volleyball	1255	2.61E-04	0.549288235	0.54351895
Boating	1255	1.15E-04	0.170882344	0.169672129
Playing baseball	1255	1.32E-04	0.282274763	0.286851325
Running	1260	0.000480785	0.328032207	0.301488188
Playing racquet sports	1260	1.49E-04	0.309832556	0.295462806
Weightlifting/strength training	1260	8.13E-04	0.507902952	0.496173099
Hiking	1260	4.32E-05	0.085369054	0.084243921
Biking	1260	1.69E-04	0.203230488	0.200506018
Walking	1260	0.001669444	0.361075182	0.313112658
Using cardiovascular equipment	1260	5.70E-04	0.427929618	0.389021355
Participating in water sports	1260	5.77E-04	0.180175567	0.163475236
Playing basketball	1260	6.90E-04	0.329933944	0.299398124
"Working out, unspecified"	1260	0.001417426	0.407714243	0.36210557
"Skiing, ice skating, snowboarding"	1260	6.47E-05	0.13393165	0.132673181
Doing yoga	1260	1.46E-04	0.341434715	0.283445585
Playing billiards	1260	8.15E-04	0.994247351	0.96280318
Fishing	1260	5.22E-04	0.312401495	0.284213701
Dancing	1260	6.76E-04	0.907084115	0.854306396
Playing football	1260	2.43E-04	0.251365139	0.231147457
Vehicle touring/racing	1260	1.59E-04	0.396396791	0.386466495
Softball	1260	2.90E-04	0.487144172	0.437704817
Playing soccer	1260	3.09E-04	0.384070689	0.302746607
Doing aerobics	1260	8.61E-05	0.140759507	0.132810698
Hunting	1260	7.00E-05	0.064426242	0.060322501
Participating in martial arts	1260	1.22E-04	0.400444735	0.392818353
Bowling	1260	0.001076415	0.87321728	0.825119082
Rollerblading	1260	1.39E-04	0.43721259	0.418997745
Golfing	1260	1.07E-04	0.045791911	0.046827391
Playing volleyball	1260	2.53E-04	0.531980379	0.497856685
Boating	1260	1.13E-04	0.1672517	0.139418
Playing baseball	1260	1.32E-04	0.282274763	0.262315031
Running	1265	4.11E-04	0.280172106	0.290031603
Playing racquet sports	1265	1.25E-04	0.260967044	0.274383676
Weightlifting/strength training	1265	8.00E-04	0.499859582	0.485125409
Hiking	1265	4.15E-05	0.081993655	0.083118788
Biking	1265	1.53E-04	0.184439694	0.183265505
Walking	1265	0.00119324	0.258079613	0.287280168
Using cardiovascular equipment	1265	4.62E-04	0.347013994	0.361824128
Participating in water sports	1265	4.18E-04	0.130417843	0.144621545
Playing basketball	1265	4.98E-04	0.238234451	0.263308571
"Working out, unspecified"	1265	0.001175946	0.338253815	0.365071138
"Skiing, ice skating, snowboarding"	1265	6.29E-05	0.130156241	0.116210724
Doing yoga	1265	9.09E-05	0.213011972	0.248630202
Playing billiards	1265	7.85E-04	0.958119047	0.950822736
Fishing	1265	3.83E-04	0.228938746	0.257727744
Dancing	1265	6.12E-04	0.821274114	0.851113329
Playing football	1265	1.74E-04	0.180091352	0.203849281
Vehicle touring/racing	1265	1.47E-04	0.366605902	0.370707828
Softball	1265	1.96E-04	0.328697536	0.381513082
Playing soccer	1265	1.25E-04	0.154921741	0.231304724
Doing aerobics	1265	7.03E-05	0.114935774	0.115105861
Hunting	1265	5.66E-05	0.052115018	0.056944594
Participating in martial arts	1265	9.52E-05	0.312540369	0.331377991
Bowling	1265	9.07E-04	0.736129686	0.785038789
Rollerblading	1265	1.35E-04	0.422802761	0.443681548
Golfing	1265	8.12E-05	0.034614469	0.035028096
Playing volleyball	1265	1.96E-04	0.41230144	0.45219442
Boating	1265	5.40E-05	0.080119957	0.106115377
Playing baseball	1265	1.04E-04	0.222395568	0.242355299
Running	1270	3.84E-04	0.261890496	0.260185997
Playing racquet sports	1270	1.21E-04	0.252351428	0.2552233
Weightlifting/strength training	1270	7.16E-04	0.447613692	0.47418482
Hiking	1270	4.15E-05	0.081993655	0.080726633
Biking	1270	1.35E-04	0.162126332	0.169426746
Walking	1270	0.001122066	0.24268571	0.251059241
Using cardiovascular equipment	1270	4.14E-04	0.310528771	0.319895893
Participating in water sports	1270	3.95E-04	0.123271227	0.127185089
Playing basketball	1270	4.63E-04	0.221757318	0.224040985
"Working out, unspecified"	1270	0.001214158	0.349245357	0.351385558
"Skiing, ice skating, snowboarding"	1270	4.08E-05	0.084544282	0.102326614
Doing yoga	1270	8.17E-05	0.191443919	0.193965487
Playing billiards	1270	7.38E-04	0.900101809	0.928655822
Fishing	1270	3.88E-04	0.231842989	0.229407861
Dancing	1270	6.15E-04	0.824981759	0.849801046
Playing football	1270	1.74E-04	0.180091352	0.180091352
Vehicle touring/racing	1270	1.40E-04	0.34912079	0.358496259
Softball	1270	1.96E-04	0.328697536	0.308332124
Playing soccer	1270	1.25E-04	0.154921741	0.136281415
Doing aerobics	1270	5.48E-05	0.089622301	0.095365711
Hunting	1270	5.90E-05	0.054292523	0.050994577
Participating in martial arts	1270	8.57E-05	0.28114887	0.283926584
Bowling	1270	9.19E-04	0.745769399	0.741133358
Rollerblading	1270	1.50E-04	0.471029292	0.450897192
Golfing	1270	5.79E-05	0.02467791	0.027990096
Playing volleyball	1270	1.96E-04	0.41230144	0.407627874
Boating	1270	4.78E-05	0.070974474	0.072509976
Playing baseball	1270	1.04E-04	0.222395568	0.222395568
Running	1275	3.50E-04	0.238495389	0.239992194
Playing racquet sports	1275	1.21E-04	0.252351428	0.24174723
Weightlifting/strength training	1275	7.60E-04	0.475081186	0.448360817
Hiking	1275	3.96E-05	0.078192589	0.079459611
Biking	1275	1.34E-04	0.161714213	0.143239112
Walking	1275	0.001167038	0.2524124	0.241592506
Using cardiovascular equipment	1275	4.03E-04	0.302144914	0.303870011
Participating in water sports	1275	4.10E-04	0.127866199	0.122564539
Playing basketball	1275	4.43E-04	0.212131187	0.211688855
"Working out, unspecified"	1275	0.001274692	0.366657501	0.342038882
"Skiing, ice skating, snowboarding"	1275	4.46E-05	0.092279318	0.092149208
Doing yoga	1275	7.58E-05	0.177440571	0.191569135
Playing billiards	1275	7.61E-04	0.92774661	0.924896726
Fishing	1275	3.80E-04	0.227441846	0.228442049
Dancing	1275	6.73E-04	0.903147264	0.885201335
Playing football	1275	1.74E-04	0.180091352	0.174523784
Vehicle touring/racing	1275	1.44E-04	0.359762085	0.356214987
Softball	1275	1.59E-04	0.267601299	0.287966711
Playing soccer	1275	7.97E-05	0.099000763	0.10945716
Doing aerobics	1275	4.99E-05	0.081539057	0.085795446
Hunting	1275	5.06E-05	0.04657619	0.049148301
Participating in martial arts	1275	7.86E-05	0.258090512	0.250525598
Bowling	1275	9.14E-04	0.741500988	0.733582261
Rollerblading	1275	1.46E-04	0.458859523	0.466024774
Golfing	1275	5.79E-05	0.02467791	0.02467791
Playing volleyball	1275	1.89E-04	0.398280742	0.387602182
Boating	1275	4.47E-05	0.066435497	0.067948489
Playing baseball	1275	1.04E-04	0.222395568	0.227027557
Running	1280	3.22E-04	0.219590698	0.225024477
Playing racquet sports	1280	1.06E-04	0.220538833	0.232486255
Weightlifting/strength training	1280	6.76E-04	0.422387574	0.430803293
Hiking	1280	3.96E-05	0.078192589	0.078192589
Biking	1280	8.79E-05	0.10587679	0.122342799
Walking	1280	0.001061931	0.229679407	0.232656525
Using cardiovascular equipment	1280	3.98E-04	0.298936346	0.288863701
Participating in water sports	1280	3.73E-04	0.116556193	0.118743487
Playing basketball	1280	4.20E-04	0.201178061	0.209494425
"Working out, unspecified"	1280	0.001078464	0.310213789	0.32568252
"Skiing, ice skating, snowboarding"	1280	4.81E-05	0.099624024	0.097175789
Doing yoga	1280	8.79E-05	0.205822914	0.19819528
Playing billiards	1280	7.76E-04	0.946841759	0.93901954
Fishing	1280	3.78E-04	0.226041313	0.225428473
Dancing	1280	6.91E-04	0.927474982	0.922632196
Playing football	1280	1.58E-04	0.163388649	0.165718555
Vehicle touring/racing	1280	1.44E-04	0.359762085	0.359762085
Softball	1280	1.59E-04	0.267601299	0.266622713
Playing soccer	1280	5.99E-05	0.074448975	0.079302963
Doing aerobics	1280	5.27E-05	0.08622498	0.082895105
Hunting	1280	5.06E-05	0.04657619	0.04657619
Participating in martial arts	1280	6.47E-05	0.212337411	0.227588445
Bowling	1280	8.80E-04	0.713476396	0.720709652
Rollerblading	1280	1.49E-04	0.468185506	0.448874235
Golfing	1280	5.79E-05	0.02467791	0.023121069
Playing volleyball	1280	1.67E-04	0.352224363	0.36757649
Boating	1280	4.47E-05	0.066435497	0.066435497
Playing baseball	1280	1.10E-04	0.236291536	0.227135605
Running	1285	3.18E-04	0.216987345	0.225788428
Playing racquet sports	1285	1.08E-04	0.224568505	0.226254106
Weightlifting/strength training	1285	6.32E-04	0.394941119	0.386495273
Hiking	1285	3.96E-05	0.078192589	0.0734949
Biking	1285	8.25E-05	0.099437393	0.091786312
Walking	1285	9.98E-04	0.215877769	0.226235653
Using cardiovascular equipment	1285	3.54E-04	0.265509841	0.285153951
Participating in water sports	1285	3.58E-04	0.111808071	0.11527227
Playing basketball	1285	4.50E-04	0.215174027	0.208406109
"Working out, unspecified"	1285	0.001043568	0.30017627	0.307546896
"Skiing, ice skating, snowboarding"	1285	4.81E-05	0.099624024	0.097687052
Doing yoga	1285	9.02E-05	0.211322354	0.209300795
Playing billiards	1285	7.73E-04	0.942470249	0.961356538
Fishing	1285	3.72E-04	0.222802261	0.225108318
Dancing	1285	6.99E-04	0.937274341	0.954916441
Playing football	1285	1.49E-04	0.153675664	0.156913326
Vehicle touring/racing	1285	1.44E-04	0.359762085	0.359762085
Softball	1285	1.58E-04	0.264665541	0.258030618
Playing soccer	1285	5.19E-05	0.064459151	0.070310975
Doing aerobics	1285	4.95E-05	0.080921279	0.077802762
Hunting	1285	5.06E-05	0.04657619	0.04877568
Participating in martial arts	1285	6.47E-05	0.212337411	0.213463249
Bowling	1285	8.72E-04	0.707151572	0.704120967
Rollerblading	1285	1.34E-04	0.419577677	0.428770846
Golfing	1285	4.69E-05	0.020007386	0.021564227
Playing volleyball	1285	1.67E-04	0.352224363	0.363256449
Boating	1285	4.47E-05	0.066435497	0.070995548
Playing baseball	1285	1.04E-04	0.222719713	0.227243654
Running	1290	3.53E-04	0.24078724	0.226356247
Playing racquet sports	1290	1.12E-04	0.233654981	0.190093781
Weightlifting/strength training	1290	5.48E-04	0.342157126	0.345288459
Hiking	1290	3.24E-05	0.064099521	0.067553166
Biking	1290	5.81E-05	0.070044752	0.077990232
Walking	1290	0.001077976	0.233149783	0.209218446
Using cardiovascular equipment	1290	3.88E-04	0.291015665	0.273260977
Participating in water sports	1290	3.76E-04	0.117452547	0.10691222
Playing basketball	1290	0.000436501	0.208866238	0.198100841
"Working out, unspecified"	1290	0.001085545	0.31225063	0.283593485
"Skiing, ice skating, snowboarding"	1290	4.53E-05	0.093813106	0.093171734
Doing yoga	1290	9.00E-05	0.210757116	0.192206636
Playing billiards	1290	8.15E-04	0.994757606	0.934925753
Fishing	1290	3.79E-04	0.22648138	0.216151311
Dancing	1290	7.45E-04	1	0.944728146
Playing football	1290	1.49E-04	0.153675664	0.135086706
Vehicle touring/racing	1290	1.44E-04	0.359762085	0.344415056
Softball	1290	1.44E-04	0.241825013	0.24405157
Playing soccer	1290	5.80E-05	0.072024798	0.067593245
Doing aerobics	1290	4.05E-05	0.066262026	0.057961415
Hunting	1290	5.78E-05	0.053174661	0.051068802
Participating in martial arts	1290	6.57E-05	0.215714926	0.199037336
Bowling	1290	8.53E-04	0.691734934	0.642336554
Rollerblading	1290	1.27E-04	0.398549355	0.405558795
Golfing	1290	4.69E-05	0.020007386	0.017155489
Playing volleyball	1290	1.83E-04	0.385320621	0.336279933
Boating	1290	5.40E-05	0.08011565	0.070197455
Playing baseball	1290	1.04E-04	0.222719713	0.213321532
Running	1295	3.24E-04	0.221294157	0.225464893
Playing racquet sports	1295	5.38E-05	0.112057857	0.152590232
Weightlifting/strength training	1295	4.78E-04	0.298767132	0.298596638
Hiking	1295	3.05E-05	0.060367388	0.061611432
Biking	1295	5.35E-05	0.06448855	0.066340617
Walking	1295	8.26E-04	0.178627787	0.198074534
Using cardiovascular equipment	1295	3.51E-04	0.263257425	0.268682021
Participating in water sports	1295	2.93E-04	0.091476041	0.099712408
Playing basketball	1295	3.56E-04	0.170262258	0.183697388
"Working out, unspecified"	1295	8.29E-04	0.238353554	0.258969647
"Skiing, ice skating, snowboarding"	1295	4.16E-05	0.08607807	0.088656416
Doing yoga	1295	6.60E-05	0.154540439	0.157724945
Playing billiards	1295	7.11E-04	0.867549405	0.915448076
Fishing	1295	3.33E-04	0.199170292	0.205893994
Dancing	1295	6.69E-04	0.896910095	0.925980426
Playing football	1295	9.46E-05	0.09790879	0.112594399
Vehicle touring/racing	1295	1.26E-04	0.313720997	0.307261972
Softball	1295	1.34E-04	0.225664157	0.231051109
Playing soccer	1295	5.34E-05	0.066295786	0.068205457
Doing aerobics	1295	1.63E-05	0.026700941	0.039887969
Hunting	1295	5.81E-05	0.053455557	0.053361925
Participating in martial arts	1295	5.15E-05	0.16905967	0.184611422
Bowling	1295	6.51E-04	0.528123156	0.578577075
Rollerblading	1295	1.27E-04	0.398549355	0.40067523
Golfing	1295	2.69E-05	0.011451694	0.013631664
Playing volleyball	1295	1.29E-04	0.271294813	0.305823242
Boating	1295	4.31E-05	0.064041219	0.069399362
Playing baseball	1295	9.08E-05	0.19452517	0.203923351
Running	1300	3.14E-04	0.214313283	0.216225557
Playing racquet sports	1300	5.38E-05	0.112057857	0.112057857
Weightlifting/strength training	1300	4.08E-04	0.254865655	0.270965351
Hiking	1300	3.05E-05	0.060367388	0.060367388
Biking	1300	5.35E-05	0.06448855	0.06448855
Walking	1300	8.44E-04	0.182446032	0.181410776
Using cardiovascular equipment	1300	3.36E-04	0.251772972	0.254970531
Participating in water sports	1300	2.89E-04	0.090208637	0.089449356
Playing basketball	1300	3.59E-04	0.171963668	0.170869933
"Working out, unspecified"	1300	7.87E-04	0.226304757	0.231137314
"Skiing, ice skating, snowboarding"	1300	4.16E-05	0.08607807	0.084003982
Doing yoga	1300	4.61E-05	0.107877281	0.117952169
Playing billiards	1300	7.25E-04	0.884037216	0.894242969
Fishing	1300	3.21E-04	0.192030309	0.192611067
Dancing	1300	6.57E-04	0.881031181	0.890389406
Playing football	1300	8.33E-05	0.086198743	0.089178838
Vehicle touring/racing	1300	9.96E-05	0.248302833	0.270108888
Softball	1300	1.34E-04	0.225664157	0.225664157
Playing soccer	1300	5.34E-05	0.066295786	0.066295786
Doing aerobics	1300	1.63E-05	0.026700941	0.024056708
Hunting	1300	5.81E-05	0.053455557	0.053455557
Participating in martial arts	1300	5.15E-05	0.16905967	0.16905967
Bowling	1300	6.36E-04	0.515873136	0.516087188
Rollerblading	1300	1.29E-04	0.40492698	0.40067523
Golfing	1300	2.21E-05	0.009435912	0.010107839
Playing volleyball	1300	1.24E-04	0.260854293	0.264334466
Boating	1300	4.31E-05	0.064041219	0.065953952
Playing baseball	1300	9.08E-05	0.19452517	0.18832365
Running	1305	3.12E-04	0.21306923	0.177710967
Playing racquet sports	1305	5.38E-05	0.112057857	0.110107977
Weightlifting/strength training	1305	4.15E-04	0.259263266	0.247099651
Hiking	1305	3.05E-05	0.060367388	0.060367388
Biking	1305	5.35E-05	0.06448855	0.06448855
Walking	1305	8.47E-04	0.183158508	0.176877645
Using cardiovascular equipment	1305	3.33E-04	0.249881196	0.245166416
Participating in water sports	1305	2.78E-04	0.08666339	0.087200144
Playing basketball	1305	3.56E-04	0.170383873	0.169677532
"Working out, unspecified"	1305	7.95E-04	0.22875363	0.228248829
"Skiing, ice skating, snowboarding"	1305	3.86E-05	0.079855807	0.080740129
Doing yoga	1305	3.90E-05	0.091438786	0.088028789
Playing billiards	1305	7.63E-04	0.931142285	0.926613838
Fishing	1305	3.12E-04	0.186632601	0.18672443
Dancing	1305	6.66E-04	0.893226942	0.900429132
Playing football	1305	8.06E-05	0.08342898	0.084352235
Vehicle touring/racing	1305	9.96E-05	0.248302833	0.242541351
Softball	1305	1.34E-04	0.225664157	0.225664157
Playing soccer	1305	5.34E-05	0.066295786	0.062654044
Doing aerobics	1305	1.15E-05	0.018768244	0.022137994
Hunting	1305	5.81E-05	0.053455557	0.053455557
Participating in martial arts	1305	5.15E-05	0.16905967	0.16905967
Bowling	1305	6.22E-04	0.504265272	0.48975971
Rollerblading	1305	1.27E-04	0.398549355	0.40067523
Golfing	1305	2.21E-05	0.009435912	0.008038732
Playing volleyball	1305	1.24E-04	0.260854293	0.253132975
Boating	1305	4.70E-05	0.069779418	0.072043169
Playing baseball	1305	8.21E-05	0.175920609	0.175355439
Running	1310	1.55E-04	0.105750387	0.143144736
Playing racquet sports	1310	5.10E-05	0.106208216	0.108158096
Weightlifting/strength training	1310	3.64E-04	0.227170033	0.230005038
Hiking	1310	3.05E-05	0.060367388	0.060367388
Biking	1310	5.35E-05	0.06448855	0.061891483
Walking	1310	7.63E-04	0.165028394	0.16702912
Using cardiovascular equipment	1310	3.12E-04	0.233845081	0.232044671
Participating in water sports	1310	2.71E-04	0.084728406	0.082741995
Playing basketball	1310	3.48E-04	0.166685056	0.167154034
"Working out, unspecified"	1310	7.99E-04	0.229688099	0.224642754
"Skiing, ice skating, snowboarding"	1310	3.68E-05	0.076286509	0.077476275
Doing yoga	1310	2.77E-05	0.064770298	0.0659342
Playing billiards	1310	7.91E-04	0.964662012	0.947424486
Fishing	1310	3.03E-04	0.18151038	0.182779866
Dancing	1310	6.91E-04	0.927029273	0.917924447
Playing football	1310	8.06E-05	0.08342898	0.08342898
Vehicle touring/racing	1310	9.27E-05	0.231018387	0.240053133
Softball	1310	1.34E-04	0.225664157	0.225664157
Playing soccer	1310	4.46E-05	0.055370558	0.059012301
Doing aerobics	1310	1.28E-05	0.020944799	0.018657306
Hunting	1310	5.81E-05	0.053455557	0.053455557
Participating in martial arts	1310	5.15E-05	0.16905967	0.174990024
Bowling	1310	5.54E-04	0.449140723	0.472700781
Rollerblading	1310	1.27E-04	0.398549355	0.40067523
Golfing	1310	1.23E-05	0.005244372	0.006641552
Playing volleyball	1310	1.13E-04	0.237690339	0.245411657
Boating	1310	5.54E-05	0.08230887	0.078132386
Playing baseball	1310	7.27E-05	0.155620538	0.162387229
Running	1315	1.62E-04	0.110614592	0.105985765
Playing racquet sports	1315	5.10E-05	0.106208216	0.105550898
Weightlifting/strength training	1315	3.26E-04	0.203581814	0.216486799
Hiking	1315	3.05E-05	0.060367388	0.060367388
Biking	1315	4.70E-05	0.056697351	0.052773134
Walking	1315	7.07E-04	0.152900457	0.160292775
Using cardiovascular equipment	1315	2.83E-04	0.212407737	0.225013536
Participating in water sports	1315	2.46E-04	0.076834188	0.080202549
Playing basketball	1315	3.44E-04	0.164393173	0.165678167
"Working out, unspecified"	1315	7.49E-04	0.215486532	0.228950562
"Skiing, ice skating, snowboarding"	1315	3.68E-05	0.076286509	0.076286509
Doing yoga	1315	1.78E-05	0.041593515	0.043160493
Playing billiards	1315	7.76E-04	0.946469162	0.970377058
Fishing	1315	3.01E-04	0.180196616	0.180634538
Dancing	1315	6.96E-04	0.933517124	0.941618313
Playing football	1315	8.06E-05	0.08342898	0.08342898
Vehicle touring/racing	1315	9.66E-05	0.240838181	0.237564916
Softball	1315	1.34E-04	0.225664157	0.221497709
Playing soccer	1315	4.46E-05	0.055370558	0.055370558
Doing aerobics	1315	9.94E-06	0.016258875	0.022650774
Hunting	1315	5.81E-05	0.053455557	0.053455557
Participating in martial arts	1315	5.69E-05	0.186850731	0.187952113
Bowling	1315	5.73E-04	0.464696348	0.460945919
Rollerblading	1315	1.29E-04	0.40492698	0.40067523
Golfing	1315	1.23E-05	0.005244372	0.005244372
Playing volleyball	1315	1.13E-04	0.237690339	0.254123843
Boating	1315	5.54E-05	0.08230887	0.08230887
Playing baseball	1315	7.27E-05	0.155620538	0.155620538
Running	1320	1.49E-04	0.101592317	0.099566326
Playing racquet sports	1320	5.00E-05	0.104236263	0.086874991
Weightlifting/strength training	1320	3.50E-04	0.218708551	0.202582714
Hiking	1320	3.05E-05	0.060367388	0.060367388
Biking	1320	3.08E-05	0.037133503	0.038727623
Walking	1320	7.53E-04	0.162949473	0.134461124
Using cardiovascular equipment	1320	3.05E-04	0.22878779	0.204758319
Participating in water sports	1320	2.53E-04	0.079045053	0.071190386
Playing basketball	1320	3.47E-04	0.165956272	0.138383199
"Working out, unspecified"	1320	8.40E-04	0.241677056	0.224582683
"Skiing, ice skating, snowboarding"	1320	3.68E-05	0.076286509	0.06442983
Doing yoga	1320	9.87E-06	0.023117665	0.02553239
Playing billiards	1320	8.20E-04	1	0.927880359
Fishing	1320	3.01E-04	0.180196616	0.162440292
Dancing	1320	7.19E-04	0.964308541	0.920105677
Playing football	1320	8.06E-05	0.08342898	0.069146959
Vehicle touring/racing	1320	9.66E-05	0.240838181	0.204260577
Softball	1320	1.27E-04	0.213164812	0.198638615
Playing soccer	1320	4.46E-05	0.055370558	0.047323231
Doing aerobics	1320	1.88E-05	0.030748647	0.025193205
Hunting	1320	5.81E-05	0.053455557	0.050414346
Participating in martial arts	1320	6.34E-05	0.207945939	0.165183987
Bowling	1320	5.78E-04	0.469000686	0.439581119
Rollerblading	1320	1.27E-04	0.398549355	0.3303086
Golfing	1320	1.23E-05	0.005244372	0.005244372
Playing volleyball	1320	1.36E-04	0.286990851	0.249656318
Boating	1320	5.54E-05	0.08230887	0.076570126
Playing baseball	1320	7.27E-05	0.155620538	0.127300686
Running	1325	1.27E-04	0.086492069	0.085757903
Playing racquet sports	1325	2.41E-05	0.050180496	0.068199085
Weightlifting/strength training	1325	2.97E-04	0.185457779	0.198648858
Hiking	1325	3.05E-05	0.060367388	0.060367388
Biking	1325	1.85E-05	0.022352016	0.027279178
Walking	1325	4.05E-04	0.08753344	0.114557481
Using cardiovascular equipment	1325	2.31E-04	0.17307943	0.189999269
Participating in water sports	1325	1.85E-04	0.057691915	0.063175969
Playing basketball	1325	1.77E-04	0.08480015	0.111926971
"Working out, unspecified"	1325	7.53E-04	0.21658446	0.225802224
"Skiing, ice skating, snowboarding"	1325	1.97E-05	0.040716473	0.052573152
Doing yoga	1325	5.07E-06	0.011885991	0.020432131
Playing billiards	1325	6.86E-04	0.837171916	0.913210387
Fishing	1325	2.12E-04	0.126927643	0.143368327
Dancing	1325	6.43E-04	0.862491367	0.904064053
Playing football	1325	3.92E-05	0.040582917	0.054864938
Vehicle touring/racing	1325	5.26E-05	0.131105371	0.167682974
Softball	1325	9.35E-05	0.157086876	0.175779521
Playing soccer	1325	2.51E-05	0.031228575	0.038269064
Doing aerobics	1325	1.75E-05	0.028572092	0.025316379
Hunting	1325	4.82E-05	0.044331924	0.047373135
Participating in martial arts	1325	3.07E-05	0.10075529	0.136485507
Bowling	1325	4.75E-04	0.385046325	0.402910812
Rollerblading	1325	5.97E-05	0.187449466	0.227252319
Golfing	1325	1.23E-05	0.005244372	0.005244372
Playing volleyball	1325	1.07E-04	0.224287762	0.230609721
Boating	1325	4.38E-05	0.065092639	0.066654898
Playing baseball	1325	3.30E-05	0.070660982	0.098980834
Running	1330	1.01E-04	0.069189323	0.074956905
Playing racquet sports	1330	2.41E-05	0.050180496	0.050180496
Weightlifting/strength training	1330	3.07E-04	0.191780245	0.184973051
Hiking	1330	3.05E-05	0.060367388	0.060367388
Biking	1330	1.85E-05	0.022352016	0.022352016
